date,price,quantity
Feb 13 2024 09: +0,8.734,1612
Feb 13 2024 10: +0,8.211,1874
Feb 13 2024 11: +0,8.119,1651
Feb 13 2024 12: +0,8.164,1759
Feb 13 2024 13: +0,8.719,1672
Feb 13 2024 14: +0,8.749,1498
Feb 13 2024 15: +0,8.427,1870
Feb 13 2024 16: +0,7.73,2856
Feb 13 2024 17: +0,7.601,3114
Feb 13 2024 18: +0,7.622,2525
Feb 13 2024 19: +0,7.719,3756
Feb 13 2024 20: +0,7.93,3230
Feb 13 2024 21: +0,7.805,2756
Feb 13 2024 22: +0,7.854,2663
Feb 13 2024 23: +0,7.905,2560
Feb 14 2024 00: +0,8.344,2283
Feb 14 2024 01: +0,8.034,2518
Feb 14 2024 02: +0,7.87,2338
Feb 14 2024 03: +0,6.46,5001
Feb 14 2024 04: +0,6.111,5227
Feb 14 2024 05: +0,6.061,4607
Feb 14 2024 06: +0,5.971,4103
Feb 14 2024 07: +0,5.754,4008
Feb 14 2024 08: +0,5.6,4400
Feb 14 2024 09: +0,5.2,4409
Feb 14 2024 10: +0,4.852,4482
Feb 14 2024 11: +0,4.467,5261
Feb 14 2024 12: +0,4.3,5499
Feb 14 2024 13: +0,4.357,6117
Feb 14 2024 14: +0,4.342,6883
Feb 14 2024 15: +0,4.332,8176
Feb 14 2024 16: +0,4.417,9313
Feb 14 2024 17: +0,4.42,9030
Feb 14 2024 18: +0,4.467,9153
Feb 14 2024 19: +0,4.498,9521
Feb 14 2024 20: +0,4.499,9573
Feb 14 2024 21: +0,4.51,8651
Feb 14 2024 22: +0,4.69,7436
Feb 14 2024 23: +0,4.88,6716
Feb 15 2024 00: +0,5.06,5421
Feb 15 2024 01: +0,5.11,4619
Feb 15 2024 02: +0,5.22,5012
Feb 15 2024 03: +0,5.31,4356
Feb 15 2024 04: +0,5.29,4548
Feb 15 2024 05: +0,5.26,4592
Feb 15 2024 06: +0,5.12,4243
Feb 15 2024 07: +0,5.074,3822
Feb 15 2024 08: +0,5.06,3935
Feb 15 2024 09: +0,5.15,2856
Feb 15 2024 10: +0,5.1,3001
Feb 15 2024 11: +0,5.108,3032
Feb 15 2024 12: +0,5.015,3215
Feb 15 2024 13: +0,4.882,3478
Feb 15 2024 14: +0,4.857,3897
Feb 15 2024 15: +0,4.757,4058
Feb 15 2024 16: +0,4.832,5047
Feb 15 2024 17: +0,4.86,6075
Feb 15 2024 18: +0,4.886,6173
Feb 15 2024 19: +0,4.998,6920
Feb 15 2024 20: +0,4.982,7521
Feb 15 2024 21: +0,4.99,6723
Feb 15 2024 22: +0,5.029,5986
Feb 15 2024 23: +0,5.126,4974
Feb 16 2024 00: +0,5.33,4951
Feb 16 2024 01: +0,5.544,4704
Feb 16 2024 02: +0,5.67,4363
Feb 16 2024 03: +0,5.92,4295
Feb 16 2024 04: +0,6.149,3850
Feb 16 2024 05: +0,6.14,3474
Feb 16 2024 06: +0,6.15,2504
Feb 16 2024 07: +0,6.069,2401
Feb 16 2024 08: +0,6.04,2291
Feb 16 2024 09: +0,5.912,2263
Feb 16 2024 10: +0,5.751,2016
Feb 16 2024 11: +0,5.59,2025
Feb 16 2024 12: +0,5.507,2197
Feb 16 2024 13: +0,5.535,2760
Feb 16 2024 14: +0,5.532,3137
Feb 16 2024 15: +0,5.524,3318
Feb 16 2024 16: +0,5.574,3711
Feb 16 2024 17: +0,5.574,4222
Feb 16 2024 18: +0,5.595,4380
Feb 16 2024 19: +0,5.535,4839
Feb 16 2024 20: +0,5.603,6054
Feb 16 2024 21: +0,5.546,4959
Feb 16 2024 22: +0,5.58,5256
Feb 16 2024 23: +0,5.68,4770
Feb 17 2024 00: +0,5.88,4380
Feb 17 2024 01: +0,5.995,4046
Feb 17 2024 02: +0,6.06,3685
Feb 17 2024 03: +0,6.11,3971
Feb 17 2024 04: +0,6.081,3543
Feb 17 2024 05: +0,5.93,3945
Feb 17 2024 06: +0,6.137,3016
Feb 17 2024 07: +0,6.04,2461
Feb 17 2024 08: +0,5.983,2908
Feb 17 2024 09: +0,5.904,2256
Feb 17 2024 10: +0,5.766,2200
Feb 17 2024 11: +0,5.67,2671
Feb 17 2024 12: +0,5.44,2333
Feb 17 2024 13: +0,5.397,2574
Feb 17 2024 14: +0,5.533,2962
Feb 17 2024 15: +0,5.43,3481
Feb 17 2024 16: +0,5.486,3415
Feb 17 2024 17: +0,5.404,3351
Feb 17 2024 18: +0,5.41,3482
Feb 17 2024 19: +0,5.485,4246
