buyPrice,buyQuantity
0.29,2861
0.28,34018
0.27,26334
0.26,69444
0.25,96579
0.24,64405
0.23,186626
0.21,63434
0.2,125709
0.19,62275
0.18,118795
0.17,35139
0.16,86534
0.15,120375
0.14,68271
0.13,92751
0.12,63446
0.11,140673
0.1,258549
0.09,191594
0.08,337674
0.07,297553
0.06,248795
0.05,237533
0.04,307396
0.03,325499
