date,price,quantity
Jul 15 2023 01: +0,1.456,65696
Jul 16 2023 01: +0,1.47,59894
Jul 17 2023 01: +0,1.483,47992
Jul 18 2023 01: +0,1.497,49283
Jul 19 2023 01: +0,1.394,89891
Jul 20 2023 01: +0,1.364,77454
Jul 21 2023 01: +0,1.41,68592
Jul 22 2023 01: +0,1.448,60795
Jul 23 2023 01: +0,1.46,59250
Jul 24 2023 01: +0,1.463,51268
Jul 25 2023 01: +0,1.478,50248
Jul 26 2023 01: +0,1.363,91573
Jul 27 2023 01: +0,1.328,73708
Jul 28 2023 01: +0,1.336,68844
Jul 29 2023 01: +0,1.376,67574
Jul 30 2023 01: +0,1.362,58762
Jul 31 2023 01: +0,1.379,53986
Aug 01 2023 01: +0,1.389,53710
Aug 02 2023 01: +0,1.275,90025
Aug 03 2023 01: +0,1.248,77902
Aug 04 2023 01: +0,1.263,67528
Aug 05 2023 01: +0,1.279,65204
Aug 06 2023 01: +0,1.263,61415
Aug 07 2023 01: +0,1.254,53439
Aug 08 2023 01: +0,1.245,57835
Aug 09 2023 01: +0,1.171,100697
Aug 10 2023 01: +0,1.121,88102
Aug 11 2023 01: +0,1.143,85533
Aug 12 2023 01: +0,1.189,73720
Aug 13 2023 01: +0,1.212,62353
Aug 14 2023 01: +0,1.229,55289
Aug 15 2023 01: +0,1.244,57261
Aug 16 2023 01: +0,1.122,99080
Aug 17 2023 01: +0,1.084,85341
Aug 18 2023 01: +0,1.101,75990
Aug 19 2023 01: +0,1.156,71643
Aug 20 2023 01: +0,1.156,67068
Aug 21 2023 01: +0,1.15,61348
Aug 22 2023 01: +0,1.169,59754
Aug 23 2023 01: +0,1.084,99571
Aug 24 2023 01: +0,1.058,87106
Aug 25 2023 01: +0,1.13,78163
Aug 26 2023 01: +0,1.157,71261
Aug 27 2023 01: +0,1.153,68567
Aug 28 2023 01: +0,1.175,61699
Aug 29 2023 01: +0,1.18,55101
Aug 30 2023 01: +0,1.082,106285
Aug 31 2023 01: +0,1.074,87918
Sep 01 2023 01: +0,1.119,85512
Sep 02 2023 01: +0,1.106,89893
Sep 03 2023 01: +0,1.114,80135
Sep 04 2023 01: +0,1.114,80653
Sep 05 2023 01: +0,1.152,69559
Sep 06 2023 01: +0,1.089,116575
Sep 07 2023 01: +0,1.066,109879
Sep 08 2023 01: +0,1.099,92639
Sep 09 2023 01: +0,1.117,85591
Sep 10 2023 01: +0,1.132,83472
Sep 11 2023 01: +0,1.174,63225
Sep 12 2023 01: +0,1.187,60426
Sep 13 2023 01: +0,1.118,112952
Sep 14 2023 01: +0,1.108,98888
Sep 15 2023 01: +0,1.149,86930
Sep 16 2023 01: +0,1.183,94091
Sep 17 2023 01: +0,1.181,75913
Sep 18 2023 01: +0,1.203,58026
Sep 19 2023 01: +0,1.219,56438
Sep 20 2023 01: +0,1.149,111148
Sep 21 2023 01: +0,1.17,86088
Sep 22 2023 01: +0,1.203,79499
Sep 23 2023 01: +0,1.212,78003
Sep 24 2023 01: +0,1.22,69534
Sep 25 2023 01: +0,1.256,60051
Sep 26 2023 01: +0,1.269,54513
Sep 27 2023 01: +0,1.233,144396
Sep 28 2023 01: +0,1.325,176343
Sep 29 2023 01: +0,1.366,134945
Sep 30 2023 01: +0,1.418,126045
Oct 01 2023 01: +0,1.441,106921
Oct 02 2023 01: +0,1.508,87142
Oct 03 2023 01: +0,1.54,81369
Oct 04 2023 01: +0,1.391,130350
Oct 05 2023 01: +0,1.32,113362
Oct 06 2023 01: +0,1.402,105021
Oct 07 2023 01: +0,1.466,99667
Oct 08 2023 01: +0,1.486,87269
Oct 09 2023 01: +0,1.495,69147
Oct 10 2023 01: +0,1.472,68216
Oct 11 2023 01: +0,1.376,131449
Oct 12 2023 01: +0,1.404,109332
Oct 13 2023 01: +0,1.429,96337
Oct 14 2023 01: +0,1.455,97799
Oct 15 2023 01: +0,1.481,87021
Oct 16 2023 01: +0,1.502,66933
Oct 17 2023 01: +0,1.52,60293
Oct 18 2023 01: +0,1.454,122232
Oct 19 2023 01: +0,1.426,96480
Oct 20 2023 01: +0,1.423,89696
Oct 21 2023 01: +0,1.435,85008
Oct 22 2023 01: +0,1.437,75716
Oct 23 2023 01: +0,1.439,60061
Oct 24 2023 01: +0,1.451,56691
Oct 25 2023 01: +0,1.388,117075
Oct 26 2023 01: +0,1.342,90118
Oct 27 2023 01: +0,1.317,85226
Oct 28 2023 01: +0,1.305,79931
Oct 29 2023 01: +0,1.256,70658
Oct 30 2023 01: +0,1.227,59456
Oct 31 2023 01: +0,1.219,58966
Nov 01 2023 01: +0,1.159,121710
Nov 02 2023 01: +0,1.118,100796
Nov 03 2023 01: +0,1.135,82373
Nov 04 2023 01: +0,1.168,77998
Nov 05 2023 01: +0,1.18,65635
Nov 06 2023 01: +0,1.207,56620
Nov 07 2023 01: +0,1.248,49737
Nov 08 2023 01: +0,1.187,100491
Nov 09 2023 01: +0,1.138,85107
Nov 10 2023 01: +0,1.136,78967
Nov 11 2023 01: +0,1.13,75892
Nov 12 2023 01: +0,1.074,61788
Nov 13 2023 01: +0,1.023,48758
Nov 14 2023 01: +0,0.987,53756
Nov 15 2023 01: +0,0.874,105847
Nov 16 2023 01: +0,0.793,81500
Nov 17 2023 01: +0,0.801,71786
Nov 18 2023 01: +0,0.82,75493
Nov 19 2023 01: +0,0.823,70603
Nov 20 2023 01: +0,0.824,53220
Nov 21 2023 01: +0,0.82,49131
Nov 22 2023 01: +0,0.721,106314
Nov 23 2023 01: +0,0.666,83681
Nov 24 2023 01: +0,0.675,83909
Nov 25 2023 01: +0,0.682,78881
Nov 26 2023 01: +0,0.671,69566
Nov 27 2023 01: +0,0.666,55994
Nov 28 2023 01: +0,0.668,51886
Nov 29 2023 01: +0,0.645,89572
