sellPrice,sellQuantity
0.3,38
0.31,215
0.32,700
0.34,1331
0.35,1815
0.36,4202
0.37,6211
0.38,5713
0.39,5682
0.4,6250
0.41,3326
0.42,5755
0.43,4916
0.46,3266
0.47,3391
0.48,3810
0.49,1912
0.5,4590
0.51,2511
0.52,1615
0.53,1762
0.54,3085
0.55,3550
0.57,4085
0.58,2475
0.59,2541
