sellPrice,sellQuantity
0.19,1830
0.2,11387
0.21,9873
0.23,20089
0.24,19817
0.25,16304
0.26,7688
0.27,9488
0.28,10482
0.29,7567
0.3,8157
0.31,13567
0.32,9663
0.34,13858
0.35,9363
0.36,6431
0.37,10648
