date,price,quantity
Nov 30 2022 01: +0,0.659,52977
Dec 01 2022 01: +0,0.683,55267
Dec 02 2022 01: +0,0.724,61962
Dec 03 2022 01: +0,0.732,68890
Dec 04 2022 01: +0,0.698,64333
Dec 05 2022 01: +0,0.686,52513
Dec 06 2022 01: +0,0.66,51841
Dec 07 2022 01: +0,0.657,53045
Dec 08 2022 01: +0,0.637,54563
Dec 09 2022 01: +0,0.642,55278
Dec 10 2022 01: +0,0.639,63360
Dec 11 2022 01: +0,0.63,65868
Dec 12 2022 01: +0,0.634,55374
Dec 13 2022 01: +0,0.628,55359
Dec 14 2022 01: +0,0.625,54342
Dec 15 2022 01: +0,0.63,56679
Dec 16 2022 01: +0,0.634,61284
Dec 17 2022 01: +0,0.644,68806
Dec 18 2022 01: +0,0.641,61783
Dec 19 2022 01: +0,0.649,57854
Dec 20 2022 01: +0,0.636,57449
Dec 21 2022 01: +0,0.655,58957
Dec 22 2022 01: +0,0.653,63281
Dec 23 2022 01: +0,0.646,75403
Dec 24 2022 01: +0,0.663,72357
Dec 25 2022 01: +0,0.663,69836
Dec 26 2022 01: +0,0.649,64740
Dec 27 2022 01: +0,0.599,61659
Dec 28 2022 01: +0,0.563,63006
Dec 29 2022 01: +0,0.572,67616
Dec 30 2022 01: +0,0.591,72296
Dec 31 2022 01: +0,0.619,58437
Jan 01 2023 01: +0,0.631,64572
Jan 02 2023 01: +0,0.594,67547
Jan 03 2023 01: +0,0.598,65868
Jan 04 2023 01: +0,0.592,66383
Jan 05 2023 01: +0,0.594,64641
Jan 06 2023 01: +0,0.588,65453
Jan 07 2023 01: +0,0.585,67295
Jan 08 2023 01: +0,0.567,64699
Jan 09 2023 01: +0,0.553,61069
Jan 10 2023 01: +0,0.545,60529
Jan 11 2023 01: +0,0.563,63077
Jan 12 2023 01: +0,0.567,58698
Jan 13 2023 01: +0,0.58,65559
Jan 14 2023 01: +0,0.598,75407
Jan 15 2023 01: +0,0.609,68891
Jan 16 2023 01: +0,0.603,56739
Jan 17 2023 01: +0,0.609,61586
Jan 18 2023 01: +0,0.615,59637
Jan 19 2023 01: +0,0.613,59825
Jan 20 2023 01: +0,0.625,67420
Jan 21 2023 01: +0,0.653,89642
Jan 22 2023 01: +0,0.68,81135
Jan 23 2023 01: +0,0.671,63940
Jan 24 2023 01: +0,0.67,63119
Jan 25 2023 01: +0,0.671,60936
Jan 26 2023 01: +0,0.685,67314
Jan 27 2023 01: +0,0.699,71110
Jan 28 2023 01: +0,0.704,78496
Jan 29 2023 01: +0,0.705,76845
Jan 30 2023 01: +0,0.698,64133
Jan 31 2023 01: +0,0.7,64133
Feb 01 2023 01: +0,0.701,63616
Feb 02 2023 01: +0,0.703,64153
Feb 03 2023 01: +0,0.706,68767
Feb 04 2023 01: +0,0.714,79696
Feb 05 2023 01: +0,0.711,77805
Feb 06 2023 01: +0,0.704,63963
Feb 07 2023 01: +0,0.697,61278
Feb 08 2023 01: +0,0.707,66491
Feb 09 2023 01: +0,0.693,61335
Feb 10 2023 01: +0,0.669,102988
Feb 11 2023 01: +0,0.624,102870
Feb 12 2023 01: +0,0.618,96929
Feb 13 2023 01: +0,0.639,81258
Feb 14 2023 01: +0,0.655,76480
Feb 15 2023 01: +0,0.683,78285
Feb 16 2023 01: +0,0.699,80126
Feb 17 2023 01: +0,0.707,86405
Feb 18 2023 01: +0,0.692,94655
Feb 19 2023 01: +0,0.676,92203
Feb 20 2023 01: +0,0.647,72372
Feb 21 2023 01: +0,0.642,73383
Feb 22 2023 01: +0,0.653,81354
Feb 23 2023 01: +0,0.679,82879
Feb 24 2023 01: +0,0.709,94142
Feb 25 2023 01: +0,0.714,104723
Feb 26 2023 01: +0,0.71,100271
Feb 27 2023 01: +0,0.715,81332
Feb 28 2023 01: +0,0.717,78589
Mar 01 2023 01: +0,0.734,78649
Mar 02 2023 01: +0,0.729,78409
Mar 03 2023 01: +0,0.731,82875
Mar 04 2023 01: +0,0.737,97981
Mar 05 2023 01: +0,0.742,98547
Mar 06 2023 01: +0,0.748,80400
Mar 07 2023 01: +0,0.756,84418
Mar 08 2023 01: +0,0.738,77359
Mar 09 2023 01: +0,0.752,78799
Mar 10 2023 01: +0,0.791,95295
Mar 11 2023 01: +0,0.82,107079
Mar 12 2023 01: +0,0.82,97313
Mar 13 2023 01: +0,0.796,76524
Mar 14 2023 01: +0,0.785,76227
Mar 15 2023 01: +0,0.802,79718
Mar 16 2023 01: +0,0.84,88578
Mar 17 2023 01: +0,0.83,93536
Mar 18 2023 01: +0,0.826,100039
Mar 19 2023 01: +0,0.809,97427
Mar 20 2023 01: +0,0.789,85981
Mar 21 2023 01: +0,0.781,84021
Mar 22 2023 01: +0,0.78,95706
Mar 23 2023 01: +0,0.823,110572
Mar 24 2023 01: +0,0.85,107503
Mar 25 2023 01: +0,0.89,114570
Mar 26 2023 01: +0,0.885,113181
Mar 27 2023 01: +0,0.923,102914
Mar 28 2023 01: +0,0.947,99290
Mar 29 2023 01: +0,0.939,89791
Mar 30 2023 01: +0,0.969,78345
Mar 31 2023 01: +0,1.044,86938
Apr 01 2023 01: +0,1.122,111627
Apr 02 2023 01: +0,1.094,107186
Apr 03 2023 01: +0,1.048,104253
Apr 04 2023 01: +0,1.069,90537
Apr 05 2023 01: +0,1.127,91410
Apr 06 2023 01: +0,1.137,94325
Apr 07 2023 01: +0,1.26,97876
Apr 08 2023 01: +0,1.381,87488
Apr 09 2023 01: +0,1.351,93900
Apr 10 2023 01: +0,1.305,91634
Apr 11 2023 01: +0,1.256,86413
Apr 12 2023 01: +0,1.258,84811
Apr 13 2023 01: +0,1.278,85169
Apr 14 2023 01: +0,1.342,83259
Apr 15 2023 01: +0,1.41,76822
Apr 16 2023 01: +0,1.504,83736
Apr 17 2023 01: +0,1.559,107881
Apr 18 2023 01: +0,1.711,77069
Apr 19 2023 01: +0,1.596,74266
Apr 20 2023 01: +0,1.401,103495
Apr 21 2023 01: +0,1.316,110124
Apr 22 2023 01: +0,1.295,105791
Apr 23 2023 01: +0,1.174,106748
Apr 24 2023 01: +0,1.073,111665
Apr 25 2023 01: +0,1.01,120864
Apr 26 2023 01: +0,0.896,102500
Apr 27 2023 01: +0,0.987,105711
Apr 28 2023 01: +0,1.094,106987
Apr 29 2023 01: +0,1.12,108750
Apr 30 2023 01: +0,1.101,105058
May 01 2023 01: +0,1.02,95788
May 02 2023 01: +0,0.976,95165
May 03 2023 01: +0,0.993,85631
May 04 2023 01: +0,0.992,82925
May 05 2023 01: +0,0.9,109633
May 06 2023 01: +0,0.868,104112
May 07 2023 01: +0,0.82,103656
May 08 2023 01: +0,0.762,91314
May 09 2023 01: +0,0.774,91876
May 10 2023 01: +0,0.85,91209
May 11 2023 01: +0,0.866,84326
May 12 2023 01: +0,0.881,92940
May 13 2023 01: +0,0.888,95399
May 14 2023 01: +0,0.872,96273
May 15 2023 01: +0,0.868,82071
May 16 2023 01: +0,0.838,80164
May 17 2023 01: +0,0.835,88833
May 18 2023 01: +0,0.826,85226
May 19 2023 01: +0,0.828,90806
May 20 2023 01: +0,0.815,94392
May 21 2023 01: +0,0.789,96789
May 22 2023 01: +0,0.765,85476
May 23 2023 01: +0,0.754,83442
May 24 2023 01: +0,0.748,84808
May 25 2023 01: +0,0.753,86557
May 26 2023 01: +0,0.778,96375
