buyPrice,buyQuantity
0.18,1841
0.17,39770
0.16,209368
0.15,143858
0.14,260153
0.13,135380
0.12,212107
0.11,256181
0.1,436429
0.09,300493
0.08,399845
0.07,316989
0.06,323490
0.05,456843
0.04,1095778
0.03,1124412
