buyPrice,buyQuantity
0.25,111
0.24,32987
0.23,93469
0.21,173049
0.2,294926
0.19,133086
0.18,218490
0.17,169992
0.16,88833
0.15,96783
0.14,84490
0.13,131953
0.12,69150
0.11,200159
0.1,200292
0.09,181133
0.08,353027
0.07,255827
0.06,187450
0.05,729609
0.04,1228566
0.03,1770049
