sellPrice,sellQuantity
0.26,173
0.27,752
0.28,5057
0.29,9532
0.3,9214
0.31,15707
0.32,8051
0.34,8036
0.35,7431
0.36,4296
0.37,6820
0.38,3743
0.39,2775
0.4,1571
0.41,3349
0.42,1910
0.43,6359
0.46,2495
0.47,4029
0.48,2760
0.49,3265
0.5,4115
0.51,5118
