date,price,quantity
Jan 06 2021 01: +0,0.359,71643
Jan 07 2021 01: +0,0.365,72120
Jan 08 2021 01: +0,0.39,75469
Jan 09 2021 01: +0,0.43,77991
Jan 10 2021 01: +0,0.449,74301
Jan 11 2021 01: +0,0.447,71361
Jan 12 2021 01: +0,0.443,74947
Jan 13 2021 01: +0,0.467,74198
Jan 14 2021 01: +0,0.468,75222
Jan 15 2021 01: +0,0.473,78848
Jan 16 2021 01: +0,0.5,84736
Jan 17 2021 01: +0,0.498,77065
Jan 18 2021 01: +0,0.501,68156
Jan 19 2021 01: +0,0.496,68817
Jan 20 2021 01: +0,0.489,73301
Jan 21 2021 01: +0,0.493,67675
Jan 22 2021 01: +0,0.497,76070
Jan 23 2021 01: +0,0.498,74445
Jan 24 2021 01: +0,0.49,74803
Jan 25 2021 01: +0,0.482,69755
Jan 26 2021 01: +0,0.466,67058
Jan 27 2021 01: +0,0.45,71469
Jan 28 2021 01: +0,0.385,98876
Jan 29 2021 01: +0,0.426,91095
Jan 30 2021 01: +0,0.447,87010
Jan 31 2021 01: +0,0.435,83060
Feb 01 2021 01: +0,0.428,73577
Feb 02 2021 01: +0,0.425,73348
Feb 03 2021 01: +0,0.414,76745
Feb 04 2021 01: +0,0.417,72225
Feb 05 2021 01: +0,0.424,77944
Feb 06 2021 01: +0,0.433,82720
Feb 07 2021 01: +0,0.431,75133
Feb 08 2021 01: +0,0.421,73489
Feb 09 2021 01: +0,0.422,82169
Feb 10 2021 01: +0,0.416,83212
Feb 11 2021 01: +0,0.438,94184
Feb 12 2021 01: +0,0.443,91378
Feb 13 2021 01: +0,0.447,96616
Feb 14 2021 01: +0,0.436,83638
Feb 15 2021 01: +0,0.427,79325
Feb 16 2021 01: +0,0.437,76828
Feb 17 2021 01: +0,0.436,77210
Feb 18 2021 01: +0,0.431,75900
Feb 19 2021 01: +0,0.44,82233
Feb 20 2021 01: +0,0.455,90670
Feb 21 2021 01: +0,0.465,85709
Feb 22 2021 01: +0,0.471,84606
Feb 23 2021 01: +0,0.492,108633
Feb 24 2021 01: +0,0.534,106129
Feb 25 2021 01: +0,0.577,99338
Feb 26 2021 01: +0,0.618,100839
Feb 27 2021 01: +0,0.665,99403
Feb 28 2021 01: +0,0.668,90126
Mar 01 2021 01: +0,0.63,79198
Mar 02 2021 01: +0,0.607,75526
Mar 03 2021 01: +0,0.588,81823
Mar 04 2021 01: +0,0.585,78620
Mar 05 2021 01: +0,0.594,91892
Mar 06 2021 01: +0,0.619,96440
Mar 07 2021 01: +0,0.633,91354
Mar 08 2021 01: +0,0.613,79263
Mar 09 2021 01: +0,0.608,77595
Mar 10 2021 01: +0,0.602,80973
Mar 11 2021 01: +0,0.599,82956
Mar 12 2021 01: +0,0.602,89151
Mar 13 2021 01: +0,0.6,94730
Mar 14 2021 01: +0,0.583,81098
Mar 15 2021 01: +0,0.561,73984
Mar 16 2021 01: +0,0.547,81994
Mar 17 2021 01: +0,0.537,89324
Mar 18 2021 01: +0,0.548,86648
Mar 19 2021 01: +0,0.553,98006
Mar 20 2021 01: +0,0.559,96527
Mar 21 2021 01: +0,0.542,91011
Mar 22 2021 01: +0,0.54,85908
Mar 23 2021 01: +0,0.539,83083
Mar 24 2021 01: +0,0.547,84274
Mar 25 2021 01: +0,0.559,85161
Mar 26 2021 01: +0,0.568,92473
Mar 27 2021 01: +0,0.579,93627
Mar 28 2021 01: +0,0.573,91066
Mar 29 2021 01: +0,0.58,83740
Mar 30 2021 01: +0,0.574,78649
Mar 31 2021 01: +0,0.585,83289
Apr 01 2021 01: +0,0.597,84908
Apr 02 2021 01: +0,0.605,90829
Apr 03 2021 01: +0,0.607,91014
Apr 04 2021 01: +0,0.603,86601
Apr 05 2021 01: +0,0.61,81361
Apr 06 2021 01: +0,0.599,77410
Apr 07 2021 01: +0,0.565,74293
Apr 08 2021 01: +0,0.516,94803
Apr 09 2021 01: +0,0.521,119716
Apr 10 2021 01: +0,0.506,108614
Apr 11 2021 01: +0,0.49,92652
Apr 12 2021 01: +0,0.493,87020
Apr 13 2021 01: +0,0.489,80353
Apr 14 2021 01: +0,0.503,25930
Apr 15 2021 01: +0,0.498,99878
Apr 16 2021 01: +0,0.487,92152
Apr 17 2021 01: +0,0.487,90368
Apr 18 2021 01: +0,0.474,82017
Apr 19 2021 01: +0,0.459,80029
Apr 20 2021 01: +0,0.448,75012
Apr 21 2021 01: +0,0.444,75211
Apr 22 2021 01: +0,0.452,77181
Apr 23 2021 01: +0,0.466,87856
Apr 24 2021 01: +0,0.472,87404
Apr 25 2021 01: +0,0.466,82115
Apr 26 2021 01: +0,0.466,76745
Apr 27 2021 01: +0,0.468,73556
Apr 28 2021 01: +0,0.47,71974
Apr 29 2021 01: +0,0.469,70768
Apr 30 2021 01: +0,0.471,86127
May 01 2021 01: +0,0.473,80334
May 02 2021 01: +0,0.464,80430
May 03 2021 01: +0,0.455,81589
May 04 2021 01: +0,0.395,113580
May 05 2021 01: +0,0.388,95899
May 06 2021 01: +0,0.383,87456
May 07 2021 01: +0,0.396,92336
May 08 2021 01: +0,0.4,90929
May 09 2021 01: +0,0.397,86672
May 10 2021 01: +0,0.395,81951
May 11 2021 01: +0,0.389,80594
May 12 2021 01: +0,0.391,84834
May 13 2021 01: +0,0.388,80714
May 14 2021 01: +0,0.395,89592
May 15 2021 01: +0,0.4,96554
May 16 2021 01: +0,0.396,84773
May 17 2021 01: +0,0.385,73699
May 18 2021 01: +0,0.374,75045
May 19 2021 01: +0,0.361,73055
May 20 2021 01: +0,0.352,77575
May 21 2021 01: +0,0.353,81921
May 22 2021 01: +0,0.361,86681
May 23 2021 01: +0,0.349,80162
May 24 2021 01: +0,0.35,77813
May 25 2021 01: +0,0.348,72313
May 26 2021 01: +0,0.348,74457
May 27 2021 01: +0,0.349,76303
May 28 2021 01: +0,0.349,84367
May 29 2021 01: +0,0.349,84056
May 30 2021 01: +0,0.347,84573
May 31 2021 01: +0,0.347,79533
Jun 01 2021 01: +0,0.346,69356
Jun 02 2021 01: +0,0.347,72435
Jun 03 2021 01: +0,0.339,74504
Jun 04 2021 01: +0,0.36,105078
Jun 05 2021 01: +0,0.38,99460
Jun 06 2021 01: +0,0.356,76587
Jun 07 2021 01: +0,0.343,71390
Jun 08 2021 01: +0,0.342,70523
Jun 09 2021 01: +0,0.345,75749
Jun 10 2021 01: +0,0.342,71134
Jun 11 2021 01: +0,0.345,73238
Jun 12 2021 01: +0,0.345,78605
Jun 13 2021 01: +0,0.346,81056
Jun 14 2021 01: +0,0.343,73421
Jun 15 2021 01: +0,0.343,71803
Jun 16 2021 01: +0,0.338,67866
Jun 17 2021 01: +0,0.335,69436
Jun 18 2021 01: +0,0.333,71724
Jun 19 2021 01: +0,0.338,73012
Jun 20 2021 01: +0,0.329,71765
Jun 21 2021 01: +0,0.312,70089
Jun 22 2021 01: +0,0.304,71299
Jun 23 2021 01: +0,0.292,65348
Jun 24 2021 01: +0,0.269,73118
Jun 25 2021 01: +0,0.265,77006
Jun 26 2021 01: +0,0.261,73063
Jun 27 2021 01: +0,0.265,70679
Jun 28 2021 01: +0,0.258,70059
Jun 29 2021 01: +0,0.254,69165
Jun 30 2021 01: +0,0.248,66086
Jul 01 2021 01: +0,0.247,64563
Jul 02 2021 01: +0,0.251,67923
Jul 03 2021 01: +0,0.25,67211
Jul 04 2021 01: +0,0.241,64591
Jul 05 2021 01: +0,0.235,64440
Jul 06 2021 01: +0,0.227,64977
Jul 07 2021 01: +0,0.22,62992
Jul 08 2021 01: +0,0.207,59672
Jul 09 2021 01: +0,0.203,60023
Jul 10 2021 01: +0,0.206,60507
Jul 11 2021 01: +0,0.202,56494
Jul 12 2021 01: +0,0.19,57678
Jul 13 2021 01: +0,0.181,53992
Jul 14 2021 01: +0,0.183,65245
Jul 15 2021 01: +0,0.185,60382
Jul 16 2021 01: +0,0.19,61263
Jul 17 2021 01: +0,0.194,58126
Jul 18 2021 01: +0,0.19,56489
Jul 19 2021 01: +0,0.183,57970
Jul 20 2021 01: +0,0.185,55989
Jul 21 2021 01: +0,0.18,58216
Jul 22 2021 01: +0,0.177,55056
